index,label,pred,cycles,roundtrip_ms,raw
0,7,7,10427759,458.2353139994666,PRED=7 CYCLES=10427759
1,2,2,11270156,489.4094810006209,PRED=2 CYCLES=11270156
2,1,1,9598164,427.7437700002338,PRED=1 CYCLES=9598164
3,0,0,11742398,506.95305300178006,PRED=0 CYCLES=11742398
4,4,4,10863412,474.7435970020888,PRED=4 CYCLES=10863412
5,1,1,9804495,435.33131100048195,PRED=1 CYCLES=9804495
6,4,4,11069799,482.36449700198136,PRED=4 CYCLES=11069799
7,9,9,10475443,459.9975439996342,PRED=9 CYCLES=10475443
8,5,5,11390798,494.215032998909,PRED=5 CYCLES=11390798
9,9,9,11443569,496.35042599766166,PRED=9 CYCLES=11443569
10,0,0,11628990,502.8055559996574,PRED=0 CYCLES=11628990
11,6,6,11698746,505.606914000964,PRED=6 CYCLES=11698746
12,9,9,10926896,477.4611510001705,PRED=9 CYCLES=10926896
13,0,0,11438187,495.6922659985139,PRED=0 CYCLES=11438187
14,1,1,9782724,434.4480920008209,PRED=1 CYCLES=9782724
15,5,5,10941613,477.47525900194887,PRED=5 CYCLES=10941613
16,9,9,10974034,480.5269860007684,PRED=9 CYCLES=10974034
17,7,7,10782328,471.6777129979164,PRED=7 CYCLES=10782328
18,3,3,11845595,510.89435500034597,PRED=3 CYCLES=11845595
19,4,4,10357648,455.6704560018261,PRED=4 CYCLES=10357648
