index,label,pred,cycles,roundtrip_ms,raw
0,7,7,24360169,974.4766259973403,PRED=7 CYCLES=24360169
1,2,2,24890697,994.0367529998184,PRED=2 CYCLES=24890697
2,1,1,23768751,952.7566860051593,PRED=1 CYCLES=23768751
3,0,0,25144975,1003.4488630044507,PRED=0 CYCLES=25144975
4,4,4,24788089,990.1101120049134,PRED=4 CYCLES=24788089
5,1,1,23874475,956.27544799936,PRED=1 CYCLES=23874475
6,4,4,24882857,993.9236209975206,PRED=4 CYCLES=24882857
7,9,9,24309136,972.6538219983922,PRED=9 CYCLES=24309136
8,5,5,24951921,996.2895950011443,PRED=5 CYCLES=24951921
9,9,9,24967540,996.8726950028213,PRED=9 CYCLES=24967540
10,0,0,25225382,1006.4029510031105,PRED=0 CYCLES=25225382
11,6,6,25283032,1008.5027419991093,PRED=6 CYCLES=25283032
12,9,9,24706538,987.2900710033718,PRED=9 CYCLES=24706538
13,0,0,25022377,998.7928329937859,PRED=0 CYCLES=25022377
14,1,1,23837853,955.4652809965773,PRED=1 CYCLES=23837853
15,5,5,24752409,989.0124690064113,PRED=5 CYCLES=24752409
16,9,9,24748694,988.7446259963326,PRED=9 CYCLES=24748694
17,7,7,24593042,983.3046819985611,PRED=7 CYCLES=24593042
18,3,3,25185264,1005.0633080027183,PRED=3 CYCLES=25185264
19,4,4,24368954,974.5502090008813,PRED=4 CYCLES=24368954
